"pathway","pval","padj","log2err","ES","NES","size","query_gene","rank_by_NES","self_enrichment_rank"
"KAT2A",0.229102167182663,0.409845384265575,0.161978948883402,-0.255199179200067,-1.12121232410955,67,"AR",53,87
"KLF4",0.243875278396437,0.411789404505458,0.0862865626267245,0.209019382367655,1.07740165816467,596,"AR",62,87
"MAX",0.936991869918699,0.973875563075938,0.0133546284394486,0.162356754633436,0.873849245295623,1649,"AR",89,87
"MYC",0.842650103519669,0.947015739442107,0.0218679438176212,0.169912608613581,0.908767062632791,1219,"AR",84,87
"MYC",0.723502304147465,0.908789479599865,0.0351652290409302,0.180985258349494,0.920074801299438,477,"AR",82,87
"MYOD1",0.182926829268293,0.355499309710078,0.181383128498408,-0.290305010240276,-1.1879495378986,52,"AR",39,87
"NANOG",0.098014888337469,0.230708195039335,0.156312403073186,0.245716675716739,1.19377890945763,292,"AR",37,87
"NELFE",0.00123675764882901,0.010615503152449,0.45505986738723,0.334665813460774,1.54201412938672,181,"AR",4,87
"NFE2L2",0.94541231126597,0.973875563075938,0.0218679438176212,0.161825796180503,0.819043213913924,452,"AR",96,87
"NFIC",0.816216216216216,0.944609778317643,0.036993251998507,0.184874853653667,0.855127842114654,190,"AR",93,87
"NFYA",2.60989825438804e-05,0.00067204880050492,0.575610261071129,0.252487681776664,1.35572130901285,1538,"AR",15,87
"NFYB",0.000119750451922772,0.00205571609134092,0.538434096309916,0.23208922981405,1.25032829437089,2446,"AR",24,87
"NR2C2",0.103316326530612,0.231338731144632,0.154190966581424,0.249315455043897,1.19567419461351,268,"AR",36,87
"NRF1",0.010368098478088,0.0508530544401462,0.380730400722792,0.224658799955788,1.20437282121978,1369,"AR",30,87
"PBX3",0.000198889455114903,0.00292651626811929,0.518848077743792,0.26851942915418,1.40867420400511,810,"AR",13,87
"PML",0.121085594989562,0.259829505915101,0.126253987849115,0.209108740775248,1.11730325240649,1162,"AR",54,87
"POU5F1",0.238744884038199,0.409845384265575,0.0992333343771191,0.250574150639102,1.11554516607235,133,"AR",55,87
"PPARD",0.855072463768116,0.947015739442107,0.0822054920415869,-0.171124591983043,-0.862077831587576,146,"AR",92,87
"PPARG",0.0126891442032747,0.0544575772057205,0.380730400722792,0.268202038536598,1.32874782495918,350,"AR",16,87
"RAD21",0.954965357967667,0.973875563075938,0.0209275853209046,0.159044267423176,0.809077599178628,481,"AR",97,87
"RCOR1",0.202031602708804,0.382086638194021,0.0978773277424561,0.214187854945286,1.09356140553384,516,"AR",59,87
"RELA",0.10025706940874,0.230708195039335,0.157402899305283,0.250556322241653,1.19845658900955,256,"AR",34,87
"REST",0.499282639885222,0.724311435326449,0.0625237414724762,0.237991973299283,0.987756125848627,86,"AR",71,87
"REST",0.687074829931973,0.87368774670362,0.136490437780413,-0.168872609130167,-0.968826463795412,440,"AR",74,87
"RFX5",0.557894736842105,0.756094182825485,0.0478299633114229,0.195674817536867,0.974727354977749,373,"AR",73,87
"RUNX1",0.0387931034482759,0.128893214682981,0.237793834423688,0.227116726106863,1.19089222557081,808,"AR",38,87
"SALL4",0.790387182910547,0.925112270906663,0.0379271467108098,0.186326601694523,0.866448034531169,196,"AR",90,87
"SIN3A",0.0563829787234043,0.165927051671733,0.193813302725311,0.221723678023338,1.16936747717189,880,"AR",43,87
"SIX5",0.00561707110178998,0.0321421290824649,0.407017918923954,0.247897090925569,1.29445963390624,702,"AR",20,87
"SMAD4",0.683578104138852,0.87368774670362,0.0445961615888961,0.194881500015634,0.907880292155743,198,"AR",85,87
"SMC3",0.782902137232846,0.925112270906663,0.0302041948644786,0.176152698698785,0.902856629940405,557,"AR",86,87
"SOX2",0.144037780401417,0.296717827626919,0.122679189568808,0.230327578810132,1.14670398668768,377,"AR",48,87
"SP1",0.000968083383520584,0.00906478077296547,0.477270815362862,0.279154818426614,1.42159526972124,503,"AR",11,87
"SP2",0.0140256849007776,0.0557882497847169,0.380730400722792,0.242342154257759,1.26317470761357,685,"AR",23,87
"SPI1",1.21880564266788e-05,0.00062768490597396,0.593325476396405,0.286044833236955,1.49880646821702,776,"AR",6,87
"SPI1",0.00636780931635762,0.0345202294518334,0.407017918923954,0.239876989574978,1.26926421788885,943,"AR",22,87
"SRF",0.0988296488946684,0.230708195039335,0.159646701919906,0.258174576966089,1.21725228603458,217,"AR",28,87
"STAT3",0.931818181818182,0.973875563075938,0.0330894161454377,0.174309602768166,0.740261863603778,101,"AR",102,87
"STAT3",0.630184331797235,0.842973846430068,0.0415717899246479,0.186677236868754,0.949011113863612,477,"AR",79,87
"STAT5A",0.451436388508892,0.673883304585737,0.0650877566917313,0.22127116897919,1.00509077326683,157,"AR",69,87
"SUZ12",0.0863560633744604,0.222366863189236,0.287805130535564,-0.219663419836883,-1.18761258455201,228,"AR",41,87
"TAF1",0.000585686013300919,0.00603256593699946,0.477270815362862,0.227537777628897,1.22830905949179,2615,"AR",27,87
